ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.01,-9999
1,TA,ERA_INTERCEPT,-0.26,-9999
1,TA,ERA_RMSE,2.55,-9999
1,TA,ERA_CORRELATION,0.96,-9999
2,PA,ERA_SLOPE,1.01,-9999
2,PA,ERA_INTERCEPT,-0.53,-9999
2,PA,ERA_RMSE,0.12,-9999
2,PA,ERA_CORRELATION,0.98,-9999
3,VPD,ERA_SLOPE,1.04,-9999
3,VPD,ERA_INTERCEPT,-0.61,-9999
3,VPD,ERA_RMSE,6.25,-9999
3,VPD,ERA_CORRELATION,0.85,-9999
4,WS,ERA_SLOPE,0.57,-9999
4,WS,ERA_INTERCEPT,1.35,-9999
4,WS,ERA_RMSE,1.47,-9999
4,WS,ERA_CORRELATION,0.45,-9999
5,P,ERA_SLOPE,0.13,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,1.00,-9999
6,SW_IN,ERA_INTERCEPT,9.62,-9999
6,SW_IN,ERA_RMSE,81.40,-9999
6,SW_IN,ERA_CORRELATION,0.96,-9999
7,LW_IN,ERA_SLOPE,-9999,-9999
7,LW_IN,ERA_INTERCEPT,-9999,-9999
7,LW_IN,ERA_RMSE,-9999,-9999
7,LW_IN,ERA_CORRELATION,-9999,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,0.50,-9999
8,LW_IN_JSB,ERA_RMSE,29.69,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.86,-9999
