ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2009
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2010
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2011
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2009
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2010
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2011
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.341067,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.315473,2009
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.341067,2010
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.341067,2011
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,46.25,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.330648,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2009
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.297001,2009
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2010
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.330648,2010
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2011
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.330648,2011
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,46.25,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.330648,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,53.75,2009
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.350372,2009
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,53.75,2010
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.345125,2010
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,53.75,2011
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.345125,2011
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,46.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.330648,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,46.25,2009
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.297001,2009
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,46.25,2010
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.330648,2010
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,46.25,2011
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.330648,2011
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,46.25,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.330648,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2009
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.313106,2009
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2010
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.33944,2010
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2011
