TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,32.476,28.229,2.873,35.024,4.57,358.109,381.253,28.172,95.172,0.0,1.936
19890102,32.295,29.407,1.516,34.027,2.587,312.418,386.938,24.831,95.373,0.947,2.636
19890103,35.752,31.17,3.324,38.502,4.673,367.555,388.044,41.829,95.043,0.0,3.296
19890104,36.988,33.474,2.294,39.097,4.114,347.956,396.591,45.123,94.988,0.279,3.412
19890105,35.27,32.108,1.084,37.167,3.321,339.565,397.223,36.511,94.68,1.134,2.656
19890106,26.956,28.058,1.261,26.294,2.717,165.956,380.205,12.534,94.662,10.148,2.065
19890107,28.838,25.497,1.765,30.842,3.519,363.203,353.021,21.539,94.679,0.0,1.833
19890108,23.29,23.617,1.251,23.093,1.54,136.228,366.088,10.016,95.054,5.668,2.557
19890109,24.5,21.769,1.377,26.29,3.166,293.76,350.168,15.293,95.545,0.0,1.69
19890110,23.309,21.415,1.583,24.55,2.199,227.555,369.015,9.888,95.753,0.309,2.018
19890111,25.34,23.095,1.795,26.811,2.252,285.354,371.013,11.146,95.571,1.376,1.574
19890112,25.476,23.47,1.047,26.791,2.368,270.782,370.849,9.065,95.508,5.622,1.948
19890113,24.386,23.115,0.528,25.219,1.234,210.654,380.178,5.852,95.269,6.999,1.446
19890114,26.387,23.685,1.894,28.158,2.996,320.599,374.588,9.742,95.106,2.486,1.415
19890115,28.105,24.483,1.332,30.478,3.475,403.72,340.084,19.932,95.13,0.0,2.528
19890116,30.326,24.92,4.92,33.868,5.338,373.022,353.769,27.578,94.871,0.0,1.547
19890117,30.282,26.518,2.034,32.748,3.462,359.039,369.648,21.911,94.594,1.643,1.319
19890118,26.813,24.75,1.072,28.166,2.168,297.649,361.181,11.468,94.586,1.987,2.14
19890119,25.181,22.255,1.132,27.098,2.132,313.506,347.247,10.492,94.339,2.662,1.904
19890120,26.038,22.289,3.721,28.494,4.717,384.427,334.197,17.051,94.754,0.0,1.937
19890121,29.737,26.021,2.02,32.172,3.898,359.805,358.887,20.951,94.86,0.0,2.433
19890122,31.125,27.246,3.004,33.667,3.211,309.638,373.539,24.666,94.934,0.58,3.201
19890123,26.947,27.743,2.244,26.426,0.64,112.713,399.149,9.233,94.659,11.881,2.38
19890124,28.077,25.892,1.071,29.508,2.767,302.366,389.096,10.793,94.857,5.5,3.101
19890125,29.42,25.537,2.221,31.963,3.518,330.768,378.446,16.19,94.873,0.286,2.001
19890126,29.707,26.499,2.619,31.809,4.368,380.488,369.531,18.403,95.2,0.0,1.772
19890127,33.374,30.094,2.882,35.717,4.212,358.264,394.975,27.905,94.721,0.0,4.303
19890128,25.767,26.43,5.603,25.294,3.309,165.237,365.651,12.626,94.507,3.929,4.185
19890129,22.407,19.1,4.079,24.77,4.743,385.815,307.532,17.63,95.343,0.0,1.61
