TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198901,28.391,25.787,2.223,30.079,3.22,303.262,369.105,18.884,94.994,2.159,2.344
198902,29.308,26.584,2.084,31.389,3.303,276.154,374.654,20.165,95.06,1.653,2.346
198903,23.775,21.548,2.207,25.774,3.207,228.499,347.638,12.807,95.25,1.839,2.529
198904,20.481,18.485,2.11,22.595,3.159,175.906,335.48,9.193,95.316,1.155,2.299
198905,15.735,14.038,2.312,17.821,3.134,131.916,316.345,6.608,95.702,0.596,2.324
198906,15.387,13.987,1.8,17.295,2.531,103.538,325.034,5.571,95.528,0.329,2.366
198907,10.99,8.98,2.502,13.606,3.6,139.135,278.214,8.171,95.709,0.216,2.964
198908,14.922,12.668,2.94,17.496,4.055,178.7,295.864,11.32,95.447,0.35,2.876
198909,16.324,13.691,2.797,18.864,4.007,220.07,303.519,13.527,95.571,0.47,2.661
198910,20.904,18.143,2.902,23.144,3.937,269.967,321.462,16.079,95.469,1.275,3.017
198911,24.706,21.725,2.47,26.739,3.836,305.184,347.402,17.113,95.071,1.906,2.646
198912,26.611,24.451,1.877,27.979,2.923,283.38,373.78,12.84,94.985,3.873,2.178
199001,27.806,25.211,2.09,29.485,3.147,299.397,372.221,16.365,94.875,3.023,2.422
199002,25.553,23.439,1.478,27.164,2.529,240.543,372.057,10.316,95.329,1.325,1.816
199003,22.162,20.493,1.699,23.694,2.472,183.3,361.226,7.446,95.228,2.995,2.162
199004,18.93,17.023,2.348,20.957,3.046,172.456,334.332,7.479,95.229,0.591,2.1
199005,14.527,12.94,2.017,16.496,2.983,130.367,306.05,6.072,95.457,1.176,2.338
199006,11.016,9.006,2.703,13.76,3.886,132.43,279.977,5.952,95.69,0.024,2.456
199007,10.666,8.84,2.181,13.02,3.328,133.69,283.439,6.131,95.88,0.309,2.518
199008,17.024,14.707,2.828,19.683,4.032,174.538,306.468,10.879,95.584,0.159,2.711
199009,15.694,13.049,2.925,18.234,3.957,225.505,299.123,11.609,95.615,0.638,2.853
199010,20.26,17.928,2.089,22.141,3.139,228.136,338.528,10.528,95.291,2.336,2.522
199011,23.893,21.268,2.42,25.692,3.573,313.255,344.672,13.702,95.061,1.851,2.913
199012,26.22,23.812,2.384,27.756,3.446,316.866,359.159,16.811,95.036,3.177,3.234
199101,25.321,23.253,1.87,26.665,2.643,274.203,367.923,11.213,95.075,3.547,2.708
199102,26.165,23.644,2.037,28.075,2.957,283.777,364.994,12.504,95.247,2.793,2.193
199103,24.781,23.032,1.707,26.36,2.443,200.826,367.857,9.065,95.175,3.616,2.268
199104,19.816,18.113,2.036,21.609,2.693,158.608,341.432,6.856,95.267,1.361,2.304
199105,16.646,14.987,2.289,18.683,2.978,132.299,320.528,5.504,95.308,0.518,2.215
199106,11.346,9.789,2.089,13.475,2.958,114.758,295.402,4.404,95.542,0.813,2.159
199107,9.978,8.13,2.221,12.356,3.203,129.565,285.397,4.918,95.579,0.174,2.243
199108,11.944,9.828,2.657,14.383,3.6,163.303,290.268,6.858,95.752,0.974,2.6
199109,17.277,14.708,2.722,19.723,3.581,231.025,310.58,9.929,95.413,1.068,2.828
199110,18.688,16.151,2.605,20.754,3.517,258.251,317.767,12.739,95.374,1.329,2.738
199111,22.685,20.2,2.005,24.388,3.193,272.943,352.061,11.474,95.161,2.422,2.63
199112,24.113,22.138,1.928,25.38,2.672,273.494,364.986,9.282,94.769,4.63,2.105
199201,26.311,23.761,2.29,27.973,3.254,298.807,370.853,13.033,95.085,3.316,2.486
199202,24.774,22.589,1.894,26.444,2.773,253.54,362.938,10.992,95.166,3.056,2.385
199203,24.985,23.13,1.857,26.671,2.732,205.103,368.319,10.953,95.1,1.415,2.569
199204,18.573,16.674,2.156,20.57,2.84,167.46,329.86,7.426,95.188,1.6,2.349
199205,14.081,12.394,2.365,16.173,2.995,135.335,305.159,5.368,95.094,0.47,2.3
199206,12.568,11.249,2.047,14.367,2.558,104.41,311.147,4.203,95.167,0.462,2.083
199207,7.283,5.451,2.25,9.648,3.43,134.689,270.05,5.234,95.972,0.103,2.482
199208,14.303,11.875,2.99,17.105,4.454,183.405,289.942,11.525,95.697,0.601,2.74
199209,16.297,13.887,2.561,18.575,3.631,218.05,308.318,10.082,95.479,1.429,2.789
199210,21.198,18.134,3.341,23.678,4.077,305.927,312.654,16.574,95.259,0.723,3.013
199211,21.984,19.667,2.558,23.576,3.47,276.786,339.086,13.724,95.262,2.277,2.788
199212,25.3,23.191,1.601,26.649,2.627,272.44,371.002,10.499,94.945,2.904,2.72
199301,26.808,24.305,1.901,28.434,2.919,282.954,376.125,11.868,95.014,2.854,2.131
199302,26.512,23.674,2.339,28.671,3.535,299.877,356.794,16.875,95.299,1.36,2.579
199303,25.162,23.311,1.848,26.831,2.681,202.045,372.929,10.012,95.284,2.304,2.511
199304,19.171,17.375,2.304,21.068,3.059,160.231,338.043,8.349,95.301,0.736,2.638
199305,13.676,11.9,2.188,15.867,3.185,135.319,300.702,6.238,95.307,1.051,2.366
199306,11.397,9.637,2.444,13.806,3.457,121.003,292.708,5.573,95.427,0.092,2.391
199307,8.9,6.697,2.614,11.755,3.826,141.648,269.8,7.309,95.83,0.095,2.357
199308,13.911,10.917,3.423,17.366,5.091,195.065,279.326,13.727,95.729,0.151,2.554
199309,16.099,13.188,2.927,18.917,4.26,231.544,294.692,13.911,95.57,0.483,2.482
199310,20.765,17.989,2.675,23.055,3.869,269.635,328.943,15.127,95.395,1.164,2.871
199311,22.813,20.028,2.493,24.743,3.691,306.737,337.846,14.089,95.087,2.48,2.417
199312,27.148,24.066,2.615,29.116,3.961,348.648,353.619,19.253,94.967,1.55,2.741
199401,26.732,24.256,2.056,28.354,3.035,286.378,371.298,14.595,95.059,2.435,2.331
199402,25.213,22.738,2.173,27.102,3.178,283.524,353.96,14.506,95.192,1.899,2.264
199403,24.569,22.14,2.489,26.76,3.652,251.034,342.503,17.577,95.339,1.465,2.871
199404,19.482,17.589,2.541,21.479,3.182,174.195,333.217,9.065,95.397,0.949,2.424
199405,16.945,15.245,2.216,19.03,3.049,131.96,321.244,5.968,95.387,1.145,2.137
199406,13.62,11.889,2.198,15.989,3.235,124.383,295.911,6.382,95.446,0.265,2.396
199407,10.245,8.182,2.528,12.953,3.752,136.274,278.035,7.665,95.586,0.116,2.44
199408,13.76,11.393,3.097,16.476,4.216,180.504,285.208,10.638,95.664,0.501,2.773
199409,19.841,17.058,3.029,22.52,4.403,239.755,310.13,16.817,95.413,0.45,2.88
199410,19.504,17.229,1.95,21.34,2.942,237.739,334.106,9.784,95.319,1.808,2.536
199411,23.78,21.036,2.55,25.671,3.749,303.292,343.076,14.475,95.202,2.015,2.449
199412,28.939,26.29,2.115,30.626,3.416,315.16,377.539,17.929,94.868,4.087,2.465
199501,24.992,22.923,2.059,26.353,2.704,275.778,365.0,10.485,95.118,2.581,2.32
199502,24.501,21.937,2.218,26.433,3.273,276.359,350.743,14.071,95.319,1.787,2.275
199503,23.184,21.271,1.947,24.905,2.728,209.087,357.393,9.377,95.251,2.294,2.162
199504,18.918,16.758,2.645,21.201,3.698,195.973,317.474,8.725,95.259,1.161,2.305
199505,15.912,14.027,2.436,18.228,3.479,142.682,307.81,6.711,95.71,0.634,2.157
199506,12.057,10.31,2.408,14.448,3.351,125.365,289.396,6.316,95.416,0.105,2.611
199507,9.373,6.838,3.102,12.68,4.593,154.631,256.712,8.291,95.334,0.022,2.444
199508,12.91,10.064,3.358,16.164,4.954,192.184,274.138,11.713,95.485,0.03,2.409
199509,18.176,15.342,3.269,20.9,4.351,240.695,294.249,17.395,95.656,0.311,2.891
199510,21.377,18.256,3.285,23.908,4.274,301.963,312.723,18.993,95.299,0.717,2.806
199511,24.21,21.869,2.228,25.82,3.415,286.701,354.699,14.646,95.225,2.37,2.421
199512,29.349,26.032,2.664,31.458,3.987,344.736,365.514,24.507,95.218,1.012,2.392
199601,26.978,24.199,2.184,28.798,3.338,310.789,362.042,17.904,94.999,1.534,1.963
199602,26.526,24.111,2.338,28.379,3.396,289.032,364.317,16.21,95.094,1.153,2.563
199603,24.411,22.284,1.893,26.346,2.917,219.52,360.114,11.654,95.337,1.25,2.09
199604,18.708,17.297,2.098,20.212,2.657,151.123,341.251,8.246,95.449,1.352,2.473
199605,17.138,15.635,1.996,18.999,2.783,126.372,327.181,7.257,95.748,0.379,2.434
199606,9.847,8.376,2.141,11.843,3.037,114.812,290.442,5.076,95.809,0.289,2.426
199607,10.716,8.531,2.7,13.532,4.175,146.628,277.354,8.357,95.98,0.032,2.494
199608,16.25,13.941,2.921,18.865,4.07,181.812,298.609,13.439,95.48,0.339,2.812
199609,16.444,13.729,3.027,19.048,3.946,222.007,297.468,14.405,95.713,0.451,2.635
199610,20.741,18.231,2.847,22.778,3.594,254.561,329.667,13.593,95.263,1.421,2.558
199611,24.643,21.722,2.63,26.627,3.869,313.562,342.998,17.42,95.178,1.363,2.597
199612,25.179,22.847,1.971,26.67,3.018,273.906,370.112,12.545,94.975,2.373,2.524
199701,27.419,25.097,1.819,28.93,2.814,259.983,381.747,13.665,95.08,2.072,2.175
199702,25.153,22.879,2.516,26.883,3.417,282.581,359.366,13.773,95.288,2.004,2.927
199703,23.976,22.311,1.577,25.495,2.442,188.061,368.135,9.344,95.415,1.901,2.193
199704,21.069,19.25,2.436,22.992,3.15,178.286,337.324,9.923,95.361,1.429,2.33
199705,18.125,16.606,1.897,19.984,2.815,130.096,331.377,8.709,95.531,0.237,2.743
199706,11.13,9.508,2.197,13.364,3.083,111.608,293.602,4.979,95.113,0.438,2.024
199707,14.161,12.531,2.196,16.289,3.291,121.262,309.92,7.308,95.41,0.239,2.505
199708,15.017,12.9,2.604,17.424,3.871,166.01,305.857,10.767,95.676,0.315,2.533
199709,18.372,15.695,3.014,20.943,3.961,225.178,313.192,14.034,95.309,0.376,2.554
199710,18.179,16.071,2.128,19.92,2.942,235.786,326.709,9.527,95.194,2.589,2.504
199711,21.487,19.325,2.109,22.97,2.823,247.867,350.777,9.158,95.165,2.845,2.408
199712,24.173,22.174,1.635,25.439,2.656,254.344,367.946,9.751,94.865,5.464,2.27
199801,25.958,23.714,2.102,27.425,3.004,297.602,368.091,12.449,95.005,2.253,2.593
199802,22.552,20.776,1.63,23.901,2.414,215.546,366.54,8.109,95.416,4.428,2.428
199803,21.847,20.117,1.898,23.416,2.671,200.794,355.705,8.788,95.369,1.627,2.388
199804,17.748,16.32,1.719,19.255,2.416,142.604,342.061,6.192,95.454,1.728,2.555
199805,15.675,14.312,1.845,17.37,2.54,119.78,327.88,5.032,95.719,1.108,2.035
199806,11.735,10.298,1.906,13.698,2.712,109.947,301.011,4.656,95.76,0.17,2.297
199807,12.695,10.79,2.239,15.173,3.407,132.791,294.155,6.084,95.692,0.068,2.299
199808,13.171,10.928,2.632,15.724,3.866,175.9,291.3,7.777,95.694,0.414,2.317
199809,14.487,12.107,2.852,16.783,3.762,225.93,296.981,10.189,95.695,1.378,2.719
199810,21.365,18.652,2.302,23.602,3.475,272.093,328.715,13.144,95.477,2.049,2.649
199811,21.888,19.489,2.12,23.519,3.208,271.545,346.203,10.933,95.249,2.712,2.511
199812,25.605,22.632,2.26,27.486,3.76,334.608,347.747,17.422,95.109,1.841,2.486
199901,25.278,22.36,2.334,27.179,3.433,317.832,349.8,15.495,95.239,2.066,2.354
199902,28.589,25.645,2.336,30.827,3.594,305.309,360.759,20.275,95.095,0.988,2.743
199903,22.868,21.196,1.848,24.372,2.559,188.832,366.403,8.628,95.228,3.039,2.405
199904,16.792,15.063,2.142,18.638,2.888,157.871,327.199,6.765,95.736,2.123,2.248
199905,15.515,14.362,1.478,16.926,2.082,101.943,335.647,4.949,95.696,1.141,2.123
199906,11.136,9.854,1.887,12.897,2.55,103.048,305.504,4.419,95.574,0.328,2.132
199907,9.192,7.338,2.378,11.587,3.426,134.782,277.412,5.175,95.888,0.163,2.576
199908,12.822,10.37,2.792,15.616,4.102,182.502,282.928,9.002,95.672,0.523,2.745
199909,18.528,15.826,2.712,21.132,3.86,211.505,316.174,13.038,95.325,0.987,2.663
199910,19.579,17.409,2.399,21.333,3.131,223.443,337.561,11.735,95.619,3.303,2.497
199911,20.594,18.22,2.269,22.226,3.142,267.103,335.792,10.834,95.377,3.692,2.382
199912,23.91,21.38,1.979,25.528,3.087,279.839,359.735,11.871,95.195,2.803,2.361
200001,25.541,23.103,1.904,27.125,2.632,268.948,372.091,10.986,95.06,3.41,2.032
200002,24.43,22.435,1.883,25.951,2.676,249.879,365.843,10.465,95.246,3.313,2.42
200003,21.474,19.712,1.761,23.086,2.462,196.572,353.054,7.786,95.292,2.339,2.463
200004,19.919,18.586,1.606,21.325,2.265,135.843,356.871,5.445,95.455,2.548,2.093
200005,13.593,12.343,1.643,15.135,2.253,109.666,321.537,4.546,95.659,0.855,2.27
200006,11.005,9.402,2.141,13.198,3.023,118.196,294.424,4.637,95.259,0.189,2.455
200007,7.208,5.225,2.472,9.739,3.588,141.316,266.789,5.332,95.783,0.241,2.586
200008,12.719,10.437,2.788,15.313,4.162,172.92,290.962,8.416,95.606,0.091,2.311
200009,16.501,13.606,3.162,19.269,4.197,239.287,297.612,13.576,95.445,0.493,2.774
200010,20.136,17.264,2.668,22.471,3.668,262.822,328.82,12.217,95.377,2.047,2.52
200011,21.393,18.582,2.17,23.293,3.589,305.306,332.197,12.658,95.209,1.657,2.553
200012,26.576,23.479,2.4,28.541,3.929,351.318,346.701,18.261,95.041,1.378,2.568
200101,27.265,25.077,1.99,28.697,2.941,296.233,372.588,14.413,95.018,3.154,2.609
200102,29.352,26.779,2.066,31.307,3.476,298.241,379.456,18.644,94.992,0.954,2.593
200103,23.664,22.216,2.055,24.993,2.511,179.611,374.011,8.44,95.257,3.125,2.456
200104,17.943,16.503,2.077,19.461,2.608,142.995,337.861,6.578,95.516,2.127,2.276
200105,14.076,12.747,1.703,15.725,2.438,111.804,323.697,4.702,95.502,0.341,2.22
200106,11.611,10.02,2.265,13.79,2.995,114.567,297.707,4.905,95.792,0.206,2.288
200107,10.723,8.788,2.396,13.251,3.399,132.66,282.878,6.582,95.433,0.12,2.675
200108,14.623,12.655,2.808,16.871,3.516,158.236,304.433,8.811,95.575,0.591,2.733
200109,15.06,13.144,2.199,16.889,2.921,171.006,319.287,8.383,95.635,1.606,2.598
200110,19.326,17.343,2.01,20.946,2.725,213.136,346.418,7.715,95.415,3.247,2.65
200111,20.85,18.646,2.286,22.355,3.095,269.887,339.548,10.267,95.231,2.358,2.639
200112,25.358,22.737,2.568,27.022,3.438,305.943,360.879,13.924,95.202,1.903,2.141
200201,25.12,22.74,2.025,26.675,2.875,274.813,364.442,12.307,95.189,4.055,2.224
200202,24.422,22.254,2.107,26.06,2.785,249.054,362.993,11.087,95.267,1.992,2.251
200203,23.337,21.822,1.911,24.684,2.491,192.307,370.669,7.885,95.043,2.464,2.583
200204,18.032,16.409,1.978,19.774,2.678,156.935,333.788,6.729,95.315,1.33,2.397
200205,15.81,14.295,1.862,17.663,2.578,122.9,325.22,5.161,95.258,0.974,2.339
200206,9.029,7.307,2.452,11.381,3.421,126.095,276.647,5.195,95.733,0.056,2.221
200207,10.462,8.608,2.415,12.873,3.361,129.745,286.238,5.97,95.747,0.28,2.241
200208,13.726,11.303,2.893,16.524,4.076,164.944,293.989,8.363,95.384,1.867,2.484
200209,16.603,13.563,3.063,19.513,4.173,239.632,298.357,11.685,95.404,0.193,2.573
200210,21.724,19.088,2.861,23.902,3.633,273.972,332.716,13.836,95.034,1.114,2.959
200211,23.927,21.189,2.8,25.818,3.869,317.934,338.092,16.542,95.052,3.668,3.005
200212,23.78,21.832,1.891,25.022,2.738,253.852,364.603,10.339,95.14,3.969,2.516
200301,26.565,23.776,1.894,28.377,3.137,303.128,364.439,13.93,95.075,2.382,2.266
200302,25.434,23.082,2.177,27.226,3.098,276.584,356.613,13.714,95.074,1.997,2.307
200303,23.927,22.213,1.903,25.442,2.575,201.423,363.704,10.238,95.346,1.351,2.411
200304,18.944,17.303,1.847,20.664,2.702,151.64,342.745,7.288,95.495,0.924,2.012
200305,15.346,13.658,2.158,17.428,3.094,132.25,314.798,6.23,95.565,0.613,2.072
200306,14.519,13.06,2.293,16.519,2.929,109.549,313.864,5.86,95.391,0.171,2.363
200307,10.098,8.122,2.462,12.641,3.591,137.348,277.131,6.712,95.773,0.451,2.306
200308,12.437,10.119,2.931,15.096,4.318,185.625,278.381,10.896,95.934,0.058,2.82
200309,19.082,16.16,3.509,21.888,4.57,245.818,300.786,18.508,95.515,0.121,3.068
200310,24.042,21.214,3.425,26.349,4.416,298.857,328.166,22.185,95.27,0.672,3.27
200311,26.417,23.421,2.896,28.482,4.047,331.424,341.207,22.488,94.987,0.928,2.93
200312,24.74,22.096,2.457,26.418,3.769,325.292,342.945,18.829,95.037,1.922,3.015
200401,28.508,25.961,1.917,30.163,2.965,276.896,377.584,17.743,95.125,1.77,1.889
200402,25.506,23.261,1.882,27.226,2.913,238.161,369.158,14.798,95.393,2.411,2.323
200403,25.416,23.413,1.97,27.222,2.931,211.987,365.079,14.196,95.222,2.664,2.937
200404,19.081,17.412,2.104,20.867,2.608,154.398,342.309,6.876,95.317,1.345,2.321
200405,11.41,10.019,2.034,13.131,2.9,119.024,304.405,5.035,95.983,1.131,2.338
200406,12.223,10.289,2.485,14.875,3.693,132.005,286.079,6.627,95.505,0.034,2.613
200407,10.945,9.158,2.369,13.296,3.195,122.981,290.463,7.077,95.549,1.459,2.718
200408,12.959,10.777,2.398,15.391,3.68,171.776,299.034,7.83,95.687,0.39,2.563
200409,18.423,15.515,3.056,21.198,4.293,248.43,302.308,15.754,95.519,0.122,2.764
200410,20.044,17.365,2.723,22.214,3.809,262.215,328.046,13.453,95.217,1.928,2.906
200411,22.086,19.688,2.126,23.725,3.352,272.65,343.316,12.917,95.186,2.979,2.586
200412,24.319,22.387,1.824,25.536,2.794,264.175,365.264,10.831,95.092,4.132,2.451
200501,26.185,24.007,1.945,27.611,2.823,287.162,371.459,12.992,95.058,2.262,2.438
200502,26.923,24.42,1.905,28.818,3.051,266.964,372.748,14.586,95.272,1.213,2.178
200503,23.092,21.094,2.336,24.877,3.161,217.624,351.618,11.367,95.32,2.04,2.531
200504,17.194,15.299,2.562,19.212,3.438,182.0,317.594,7.888,95.589,0.609,2.311
200505,14.915,13.014,2.451,17.284,3.581,145.606,303.653,7.824,95.17,0.204,2.698
200506,13.213,11.773,2.116,15.189,2.775,99.07,316.629,5.791,95.384,0.074,2.201
200507,11.885,9.985,2.433,14.312,3.626,132.95,288.102,7.405,95.732,0.27,2.63
200508,13.549,11.426,2.651,15.983,3.779,164.951,295.152,9.288,95.492,0.772,2.761
200509,15.621,12.843,2.927,18.282,3.988,237.35,294.392,13.366,95.792,1.384,2.638
200510,19.673,16.738,2.799,22.084,3.891,279.682,312.176,15.954,95.43,1.659,2.682
200511,23.607,21.3,2.343,25.197,3.449,280.313,349.391,13.681,95.081,3.027,2.585
200512,24.768,22.474,1.909,26.229,3.331,296.828,359.781,13.567,95.066,2.352,2.633
200601,27.296,25.031,2.08,28.772,3.068,288.402,376.575,14.142,95.052,2.806,2.523
200602,25.9,23.756,1.891,27.54,2.752,249.094,372.587,13.259,95.118,3.159,2.414
200603,22.653,20.526,2.413,24.562,3.318,229.798,347.511,10.84,95.215,1.815,2.512
200604,19.483,17.841,2.268,21.222,2.949,165.535,338.187,7.763,95.442,3.09,2.567
200605,13.771,11.902,2.451,16.076,3.598,146.942,296.654,7.336,95.841,0.061,2.425
200606,13.249,11.63,2.114,15.467,2.994,113.838,305.904,5.923,95.497,0.082,2.377
200607,13.236,11.211,2.536,15.868,3.799,143.514,287.988,7.483,95.419,0.04,2.458
200608,14.238,11.466,3.265,17.413,4.764,189.079,280.052,13.105,95.472,0.02,2.483
200609,18.041,15.099,3.366,20.863,4.417,247.403,292.037,18.388,95.53,0.313,2.882
200610,21.392,19.001,2.546,23.337,3.495,253.515,335.86,12.848,95.203,1.821,2.676
200611,22.735,20.531,2.33,24.25,3.431,264.112,350.619,14.125,95.177,3.014,2.81
200612,25.415,23.122,1.773,26.876,2.934,285.905,367.261,11.52,94.996,3.228,2.49
200701,25.989,23.855,1.882,27.389,2.668,250.132,376.063,11.484,95.037,2.577,2.43
200702,24.577,22.618,1.782,26.062,2.695,238.149,370.889,10.276,95.097,3.909,2.372
200703,21.967,20.22,1.989,23.533,2.724,194.088,358.478,8.214,95.239,3.153,2.462
200704,19.05,17.157,2.168,21.041,2.966,168.359,336.134,7.178,95.382,0.726,2.288
200705,11.614,9.968,2.129,13.645,3.083,140.358,292.066,5.886,95.782,0.107,2.263
200706,9.475,7.147,2.967,12.643,4.303,136.321,268.865,6.221,95.517,0.184,1.967
200707,7.901,5.786,2.713,10.631,3.953,142.637,267.023,6.854,95.617,0.129,2.355
200708,8.953,6.684,2.93,11.528,4.077,181.954,266.356,9.395,95.864,0.073,2.669
200709,17.204,14.794,2.739,19.515,3.836,212.658,317.139,11.594,95.542,0.939,2.917
200710,19.343,17.163,2.649,21.116,3.144,238.224,330.64,9.715,95.23,3.629,2.63
200711,22.191,19.368,2.651,24.119,3.693,317.298,330.339,13.96,95.111,1.487,2.671
200712,25.62,22.984,2.671,27.306,3.407,312.393,352.547,17.027,95.112,2.372,2.372
200801,26.041,24.078,1.612,27.313,2.435,253.922,375.653,11.805,95.13,3.151,2.312
200802,24.793,22.391,1.729,26.621,2.726,246.64,365.361,10.308,95.218,3.284,2.028
200803,22.534,20.748,1.582,24.13,2.389,187.851,361.567,7.953,95.398,2.61,2.226
200804,18.168,16.025,2.476,20.446,3.485,192.775,314.139,8.359,95.285,0.655,2.056
200805,14.718,12.686,2.348,17.221,3.501,153.604,295.322,7.391,95.552,0.202,2.395
200806,9.012,7.005,2.496,11.766,3.944,132.954,268.52,6.364,95.695,0.139,2.286
200807,13.357,11.373,2.541,15.903,3.691,133.522,297.259,6.785,95.481,0.103,2.123
200808,13.631,10.974,3.417,16.652,4.704,191.981,274.846,12.304,95.388,0.198,2.803
200809,16.871,14.182,3.05,19.443,4.136,236.472,295.749,15.2,95.741,0.435,2.746
200810,20.704,18.147,2.976,22.796,3.666,267.732,325.517,15.428,95.475,1.14,2.794
200811,25.722,23.117,2.236,27.498,3.619,305.978,351.985,17.492,95.199,2.734,2.755
200812,25.962,23.149,2.079,27.757,3.228,305.302,362.232,14.949,95.237,1.845,2.095
200901,26.495,23.656,2.181,28.341,3.487,311.714,362.361,17.691,95.305,1.698,2.273
200902,26.836,24.304,2.15,28.767,3.234,291.65,358.598,17.641,95.106,1.325,2.552
200903,26.027,23.779,2.08,28.053,3.364,239.598,358.482,15.8,95.239,2.65,2.323
200904,23.475,21.352,2.198,25.733,3.515,193.424,340.013,13.678,95.52,0.194,2.444
200905,16.761,14.805,2.677,19.165,3.766,145.14,305.258,10.15,95.411,0.22,2.29
200906,11.928,9.738,2.724,14.929,4.255,140.009,271.984,9.489,95.606,0.009,2.47
200907,9.676,7.235,2.906,12.854,4.285,145.947,263.349,9.553,95.679,0.122,2.375
200908,16.998,14.344,3.395,20.034,4.981,196.626,285.329,17.535,95.325,0.043,2.686
200909,14.368,11.587,2.887,17.039,4.098,246.575,280.188,12.336,95.701,0.74,2.753
200910,23.137,19.749,3.536,25.906,4.941,315.555,308.605,24.799,95.101,0.282,2.967
200911,25.501,22.81,3.074,27.355,4.396,336.97,337.361,21.038,94.743,1.467,2.686
200912,24.457,22.434,1.762,25.75,2.827,263.598,365.004,11.391,95.035,3.023,2.585
201001,28.769,25.802,2.263,30.698,3.719,337.974,364.473,20.299,94.998,1.557,2.556
201002,26.121,24.198,2.138,27.578,2.831,254.853,372.968,11.69,94.957,2.262,2.668
201003,25.055,23.114,1.936,26.824,2.956,211.335,365.256,11.278,95.181,1.454,2.452
201004,18.275,16.193,2.564,20.511,3.619,189.498,315.408,10.567,95.632,0.231,2.542
201005,14.232,12.222,2.787,16.701,3.768,147.584,294.135,9.465,95.709,0.508,2.464
201006,11.446,9.398,2.817,14.249,4.007,134.23,276.619,7.506,95.592,0.02,2.371
201007,8.497,6.096,2.729,11.614,4.18,154.884,254.309,8.749,95.748,0.087,2.34
201008,12.296,9.78,3.264,15.165,4.603,188.446,274.953,12.073,95.784,0.121,2.611
201009,16.29,13.739,2.531,18.743,3.801,217.943,300.619,12.236,95.518,1.245,2.73
