TIMESTAMP_START,TIMESTAMP_END,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,19890107,32.653,29.706,2.017,34.422,3.643,322.109,383.325,30.077,94.942,1.787,2.548
19890108,19890114,24.67,22.881,1.354,25.844,2.251,249.276,368.843,10.143,95.401,3.209,1.807
19890115,19890121,28.069,24.462,2.319,30.432,3.599,355.881,352.145,18.483,94.733,0.899,1.973
19890122,19890128,29.203,27.063,2.806,30.626,3.147,279.925,381.484,17.117,94.822,3.168,2.992
19890129,19890204,27.154,24.924,2.598,28.747,3.468,279.238,368.777,15.402,95.171,3.326,2.482
19890205,19890211,29.675,27.077,2.028,31.618,3.101,297.138,376.736,20.586,95.186,0.021,2.612
19890212,19890218,28.103,25.694,2.085,29.977,2.92,248.99,375.575,15.785,94.903,2.209,1.757
19890219,19890225,28.878,25.814,2.151,31.261,3.632,290.455,365.9,19.628,95.063,1.259,2.069
19890226,19890304,29.591,26.984,1.877,31.685,3.076,253.17,372.63,23.678,94.839,2.312,2.759
19890305,19890311,24.719,22.374,1.763,26.703,3.244,239.553,356.576,12.242,95.215,1.061,1.978
19890312,19890318,24.703,21.741,2.948,27.288,4.052,274.492,332.548,17.104,95.393,0.354,2.669
19890319,19890325,23.834,21.866,2.013,25.678,2.89,198.977,353.123,12.852,95.209,2.072,2.973
19890326,19890401,19.898,17.929,2.293,21.866,3.104,199.161,333.146,9.188,95.553,2.643,2.8
19890402,19890408,22.645,20.835,1.54,24.454,2.574,153.22,363.338,7.223,95.068,1.874,2.032
19890409,19890415,20.918,18.955,2.19,22.893,3.236,193.933,333.459,10.509,95.183,0.838,2.501
19890416,19890422,22.422,19.98,2.518,25.076,3.877,200.726,332.985,11.484,95.519,0.183,2.469
19890423,19890429,17.359,15.737,2.139,19.192,2.826,149.165,321.969,7.864,95.395,2.048,2.188
19890430,19890506,10.826,8.718,2.593,13.318,3.618,169.797,280.401,6.864,95.871,0.538,1.969
19890507,19890513,16.597,14.548,2.565,19.019,3.564,138.058,317.515,7.048,95.559,1.002,2.637
19890514,19890520,17.32,15.853,2.259,19.176,2.857,123.142,327.962,5.808,95.744,1.014,2.49
19890521,19890527,17.079,15.487,2.027,19.126,2.918,125.189,320.386,7.227,95.707,0.011,2.452
19890528,19890603,15.45,14.195,1.823,17.063,2.786,101.907,328.611,5.519,95.593,0.52,1.803
19890604,19890610,16.37,14.982,1.729,18.162,2.281,93.564,339.527,5.117,95.564,0.177,1.849
19890611,19890617,14.893,13.776,1.339,16.457,2.231,98.752,328.013,6.058,95.965,0.08,2.658
19890618,19890624,15.988,14.352,2.301,18.278,2.613,110.993,324.193,5.486,95.453,0.515,2.549
19890625,19890701,13.442,12.024,1.946,15.426,2.616,113.709,300.906,6.051,95.217,0.191,2.699
19890702,19890708,3.981,1.99,2.584,6.768,3.721,153.265,225.038,7.315,96.651,0.0,3.559
19890709,19890715,12.355,10.275,3.012,15.24,4.244,130.996,287.556,8.17,95.919,0.0,2.917
19890716,19890722,16.644,15.017,1.723,18.737,2.47,106.122,334.289,7.467,95.383,0.734,2.661
19890723,19890729,11.627,9.293,2.423,14.386,3.878,156.966,274.159,8.972,94.86,0.222,2.738
19890730,19890805,14.679,12.261,3.029,17.536,4.653,171.745,285.498,10.859,95.397,0.793,2.558
19890806,19890812,14.153,11.959,2.674,16.747,3.942,163.996,295.81,9.303,95.775,0.224,3.079
19890813,19890819,19.396,17.088,3.291,22.124,4.265,179.328,318.027,13.235,95.099,0.115,2.612
19890820,19890826,10.942,8.901,2.81,13.238,3.326,169.223,290.752,9.521,95.287,0.302,3.117
19890827,19890902,15.139,12.315,3.586,17.994,4.888,224.188,275.996,15.629,95.673,0.117,3.158
19890903,19890909,13.827,11.1,2.706,16.554,3.953,223.29,281.913,11.687,95.118,0.348,2.26
19890910,19890916,13.199,10.221,3.034,16.133,4.341,227.129,285.23,11.401,95.899,0.389,2.829
19890917,19890923,20.088,17.962,2.418,22.045,3.572,210.961,329.83,15.363,95.236,0.963,2.728
19890924,19890930,17.882,15.5,2.528,20.074,3.632,214.363,323.469,14.368,96.053,0.316,2.58
19891001,19891007,22.547,20.026,2.864,24.866,4.179,261.771,320.035,19.68,95.454,1.036,3.196
19891008,19891014,17.306,15.088,2.218,19.083,3.01,216.198,322.214,9.132,95.646,1.393,2.473
19891015,19891021,22.988,19.663,2.736,25.574,4.272,297.755,323.46,18.951,95.502,1.746,2.833
19891022,19891028,22.69,18.828,3.805,25.693,4.894,337.669,311.827,19.654,95.059,0.82,3.451
19891029,19891104,18.556,16.821,2.555,19.827,3.158,230.738,335.088,10.486,95.448,3.183,2.843
19891105,19891111,21.555,19.167,1.798,23.26,2.953,251.447,347.469,9.948,95.006,2.054,2.511
19891112,19891118,25.145,21.609,3.805,27.565,4.869,369.755,329.191,22.598,95.176,0.246,3.061
19891119,19891125,28.07,24.328,2.671,30.522,4.336,347.804,351.495,22.854,95.042,0.939,2.304
19891126,19891202,27.175,25.082,1.305,28.546,2.841,260.36,383.751,13.544,95.01,3.913,2.54
19891203,19891209,24.789,23.327,1.75,25.746,2.79,265.833,366.143,10.745,94.88,3.541,2.314
19891210,19891216,26.6,24.923,2.146,27.699,2.618,247.346,385.563,9.534,94.723,8.935,2.819
19891217,19891223,26.103,23.213,2.011,27.962,3.425,326.492,358.753,15.529,95.277,0.972,2.129
19891224,19891231,28.682,25.95,1.826,30.321,3.039,302.139,378.705,16.413,95.08,1.914,1.64
19900101,19900107,28.447,26.151,1.897,29.825,2.818,276.266,385.597,15.547,95.031,2.195,2.205
