TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
1989,20.572,18.288,2.355,22.675,3.41,217.682,332.077,12.643,95.344,481.593,2.548
1990,19.452,17.284,2.266,21.481,3.298,212.328,329.591,10.28,95.356,538.677,2.509
1991,19.019,16.957,2.181,20.942,3.036,207.277,331.399,8.704,95.305,706.601,2.417
1992,18.957,16.818,2.328,20.941,3.24,213.008,328.155,9.974,95.285,557.167,2.56
1993,19.327,16.889,2.481,21.6,3.629,224.156,324.969,11.835,95.351,436.069,2.503
1994,20.19,17.892,2.412,22.33,3.485,221.638,328.736,12.102,95.323,521.859,2.499
1995,19.553,17.108,2.638,21.851,3.738,228.638,320.311,12.6,95.358,394.495,2.433
1996,19.788,17.565,2.395,21.832,3.4,216.799,330.075,12.163,95.419,364.214,2.463
1997,19.832,17.842,2.172,21.695,3.101,199.513,337.127,10.054,95.284,606.062,2.427
1998,18.72,16.668,2.129,20.611,3.109,208.429,330.335,9.254,95.47,593.755,2.439
1999,18.674,16.531,2.211,20.627,3.151,205.586,329.412,10.115,95.473,645.797,2.434
2000,18.354,16.159,2.218,20.352,3.206,212.612,327.107,9.527,95.37,563.859,2.42
2001,19.101,17.172,2.203,20.888,3.002,198.988,336.353,9.393,95.382,602.48,2.489
2002,18.806,16.678,2.354,20.8,3.223,208.164,328.889,9.574,95.297,669.552,2.484
2003,20.09,17.813,2.497,22.173,3.523,224.655,326.849,13.063,95.375,351.182,2.572
2004,19.223,17.085,2.24,21.216,3.261,206.098,331.017,11.081,95.4,622.004,2.535
2005,19.175,16.989,2.367,21.214,3.411,215.633,327.445,11.125,95.365,483.105,2.528
2006,19.749,17.557,2.423,21.822,3.466,214.666,328.997,11.377,95.331,586.959,2.551
2007,17.777,15.599,2.442,19.833,3.381,210.851,321.911,9.814,95.38,582.723,2.45
2008,19.283,16.981,2.38,21.452,3.461,217.238,323.966,11.193,95.4,500.823,2.386
2009,20.438,17.949,2.634,22.795,3.933,235.175,319.527,15.081,95.315,358.612,2.533
2010,19.0,16.609,2.593,21.253,3.724,226.686,318.498,12.528,95.395,415.009,2.513
2011,19.608,17.06,2.744,21.998,3.928,233.622,317.38,14.076,95.376,309.423,2.539
2012,19.548,17.435,2.384,21.547,3.361,208.614,331.079,11.615,95.312,587.902,2.582
2013,19.699,17.275,2.54,21.989,3.763,227.051,321.533,13.354,95.375,425.124,2.59
2014,19.485,17.316,2.414,21.5,3.352,212.128,328.502,11.479,95.319,697.692,2.596
