ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.01,-9999
1,TA,ERA_INTERCEPT,-0.30,-9999
1,TA,ERA_RMSE,2.19,-9999
1,TA,ERA_CORRELATION,0.94,-9999
2,PA,ERA_SLOPE,1.01,-9999
2,PA,ERA_INTERCEPT,-0.57,-9999
2,PA,ERA_RMSE,0.10,-9999
2,PA,ERA_CORRELATION,0.98,-9999
3,VPD,ERA_SLOPE,1.02,-9999
3,VPD,ERA_INTERCEPT,-0.21,-9999
3,VPD,ERA_RMSE,5.13,-9999
3,VPD,ERA_CORRELATION,0.76,-9999
4,WS,ERA_SLOPE,0.61,-9999
4,WS,ERA_INTERCEPT,1.01,-9999
4,WS,ERA_RMSE,0.83,-9999
4,WS,ERA_CORRELATION,0.62,-9999
5,P,ERA_SLOPE,-9999,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,1.00,-9999
6,SW_IN,ERA_INTERCEPT,1.23,-9999
6,SW_IN,ERA_RMSE,85.60,-9999
6,SW_IN,ERA_CORRELATION,0.93,-9999
7,LW_IN,ERA_SLOPE,-9999,-9999
7,LW_IN,ERA_INTERCEPT,-9999,-9999
7,LW_IN,ERA_RMSE,-9999,-9999
7,LW_IN,ERA_CORRELATION,-9999,-9999
8,LW_IN_JSB,ERA_SLOPE,0.99,-9999
8,LW_IN_JSB,ERA_INTERCEPT,2.48,-9999
8,LW_IN_JSB,ERA_RMSE,40.93,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.72,-9999
