ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2010
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2011
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2012
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2010
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2011
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2012
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.265298,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.276327,2010
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.265298,2011
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.278628,2012
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,53.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.269581,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2010
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.275519,2010
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2011
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.263789,2011
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2012
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.277331,2012
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,56.25,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.272022,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2010
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.275519,2010
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2011
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.263789,2011
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2012
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.277331,2012
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,56.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.272022,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,81.25,2010
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.298296,2010
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,81.25,2011
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.293026,2011
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,81.25,2012
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.299836,2012
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,61.25,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.277083,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,81.25,2010
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.298296,2010
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,81.25,2011
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.293026,2011
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,81.25,2012
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.299836,2012
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,86.25,-9999
13,NEE_CUT_REF,YY_USTAR_THRESHOLD,0.300351,-9999
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,81.25,2010
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.298296,2010
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,81.25,2011
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.293026,2011
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,81.25,2012
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.299836,2012
15,RECO_NT_CUT_REF,HH_USTAR_PERCENTILE,31.25,-9999
15,RECO_NT_CUT_REF,HH_USTAR_THRESHOLD,0.224663,-9999
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,33.75,2010
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.250774,2010
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,33.75,2011
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.231837,2011
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,33.75,2012
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.265328,2012
17,RECO_NT_CUT_REF,DD_USTAR_PERCENTILE,41.25,-9999
17,RECO_NT_CUT_REF,DD_USTAR_THRESHOLD,0.248592,-9999
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,33.75,2010
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.250774,2010
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,33.75,2011
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.231837,2011
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,33.75,2012
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.265328,2012
19,RECO_NT_CUT_REF,WW_USTAR_PERCENTILE,41.25,-9999
19,RECO_NT_CUT_REF,WW_USTAR_THRESHOLD,0.248592,-9999
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,28.75,2010
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.215702,2010
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,28.75,2011
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.2224,2011
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,28.75,2012
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.261058,2012
21,RECO_NT_CUT_REF,MM_USTAR_PERCENTILE,31.25,-9999
21,RECO_NT_CUT_REF,MM_USTAR_THRESHOLD,0.224663,-9999
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,33.75,2010
22,RECO_NT_VUT_REF,MM_USTAR_THRESHOLD,0.250774,2010
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,33.75,2011
22,RECO_NT_VUT_REF,MM_USTAR_THRESHOLD,0.231837,2011
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,33.75,2012
22,RECO_NT_VUT_REF,MM_USTAR_THRESHOLD,0.265328,2012
23,RECO_NT_CUT_REF,YY_USTAR_PERCENTILE,31.25,-9999
23,RECO_NT_CUT_REF,YY_USTAR_THRESHOLD,0.224663,-9999
24,RECO_NT_VUT_REF,YY_USTAR_PERCENTILE,41.25,2010
24,RECO_NT_VUT_REF,YY_USTAR_THRESHOLD,0.267835,2010
24,RECO_NT_VUT_REF,YY_USTAR_PERCENTILE,41.25,2011
24,RECO_NT_VUT_REF,YY_USTAR_THRESHOLD,0.248592,2011
24,RECO_NT_VUT_REF,YY_USTAR_PERCENTILE,41.25,2012
24,RECO_NT_VUT_REF,YY_USTAR_THRESHOLD,0.27178,2012
25,GPP_NT_CUT_REF,HH_USTAR_PERCENTILE,46.25,-9999
25,GPP_NT_CUT_REF,HH_USTAR_THRESHOLD,0.260913,-9999
26,GPP_NT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2010
26,GPP_NT_VUT_REF,HH_USTAR_THRESHOLD,0.267835,2010
26,GPP_NT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2011
26,GPP_NT_VUT_REF,HH_USTAR_THRESHOLD,0.248592,2011
26,GPP_NT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2012
26,GPP_NT_VUT_REF,HH_USTAR_THRESHOLD,0.27178,2012
27,GPP_NT_CUT_REF,DD_USTAR_PERCENTILE,41.25,-9999
27,GPP_NT_CUT_REF,DD_USTAR_THRESHOLD,0.248592,-9999
28,GPP_NT_VUT_REF,DD_USTAR_PERCENTILE,31.25,2010
28,GPP_NT_VUT_REF,DD_USTAR_THRESHOLD,0.227005,2010
28,GPP_NT_VUT_REF,DD_USTAR_PERCENTILE,31.25,2011
28,GPP_NT_VUT_REF,DD_USTAR_THRESHOLD,0.224663,2011
28,GPP_NT_VUT_REF,DD_USTAR_PERCENTILE,31.25,2012
28,GPP_NT_VUT_REF,DD_USTAR_THRESHOLD,0.263787,2012
29,GPP_NT_CUT_REF,WW_USTAR_PERCENTILE,41.25,-9999
29,GPP_NT_CUT_REF,WW_USTAR_THRESHOLD,0.248592,-9999
30,GPP_NT_VUT_REF,WW_USTAR_PERCENTILE,31.25,2010
30,GPP_NT_VUT_REF,WW_USTAR_THRESHOLD,0.227005,2010
30,GPP_NT_VUT_REF,WW_USTAR_PERCENTILE,31.25,2011
30,GPP_NT_VUT_REF,WW_USTAR_THRESHOLD,0.224663,2011
30,GPP_NT_VUT_REF,WW_USTAR_PERCENTILE,31.25,2012
30,GPP_NT_VUT_REF,WW_USTAR_THRESHOLD,0.263787,2012
31,GPP_NT_CUT_REF,MM_USTAR_PERCENTILE,41.25,-9999
31,GPP_NT_CUT_REF,MM_USTAR_THRESHOLD,0.248592,-9999
32,GPP_NT_VUT_REF,MM_USTAR_PERCENTILE,31.25,2010
32,GPP_NT_VUT_REF,MM_USTAR_THRESHOLD,0.227005,2010
32,GPP_NT_VUT_REF,MM_USTAR_PERCENTILE,31.25,2011
32,GPP_NT_VUT_REF,MM_USTAR_THRESHOLD,0.224663,2011
32,GPP_NT_VUT_REF,MM_USTAR_PERCENTILE,31.25,2012
32,GPP_NT_VUT_REF,MM_USTAR_THRESHOLD,0.263787,2012
33,GPP_NT_CUT_REF,YY_USTAR_PERCENTILE,56.25,-9999
33,GPP_NT_CUT_REF,YY_USTAR_THRESHOLD,0.272022,-9999
34,GPP_NT_VUT_REF,YY_USTAR_PERCENTILE,76.25,2010
34,GPP_NT_VUT_REF,YY_USTAR_THRESHOLD,0.292902,2010
34,GPP_NT_VUT_REF,YY_USTAR_PERCENTILE,76.25,2011
34,GPP_NT_VUT_REF,YY_USTAR_THRESHOLD,0.288362,2011
34,GPP_NT_VUT_REF,YY_USTAR_PERCENTILE,76.25,2012
34,GPP_NT_VUT_REF,YY_USTAR_THRESHOLD,0.294037,2012
35,RECO_DT_CUT_REF,HH_USTAR_PERCENTILE,68.75,-9999
35,RECO_DT_CUT_REF,HH_USTAR_THRESHOLD,0.283173,-9999
36,RECO_DT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2010
36,RECO_DT_VUT_REF,HH_USTAR_THRESHOLD,0.267835,2010
36,RECO_DT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2011
36,RECO_DT_VUT_REF,HH_USTAR_THRESHOLD,0.248592,2011
36,RECO_DT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2012
36,RECO_DT_VUT_REF,HH_USTAR_THRESHOLD,0.27178,2012
37,RECO_DT_CUT_REF,DD_USTAR_PERCENTILE,68.75,-9999
37,RECO_DT_CUT_REF,DD_USTAR_THRESHOLD,0.283173,-9999
38,RECO_DT_VUT_REF,DD_USTAR_PERCENTILE,41.25,2010
38,RECO_DT_VUT_REF,DD_USTAR_THRESHOLD,0.267835,2010
38,RECO_DT_VUT_REF,DD_USTAR_PERCENTILE,41.25,2011
38,RECO_DT_VUT_REF,DD_USTAR_THRESHOLD,0.248592,2011
38,RECO_DT_VUT_REF,DD_USTAR_PERCENTILE,41.25,2012
38,RECO_DT_VUT_REF,DD_USTAR_THRESHOLD,0.27178,2012
39,RECO_DT_CUT_REF,WW_USTAR_PERCENTILE,91.25,-9999
39,RECO_DT_CUT_REF,WW_USTAR_THRESHOLD,0.309653,-9999
40,RECO_DT_VUT_REF,WW_USTAR_PERCENTILE,41.25,2010
40,RECO_DT_VUT_REF,WW_USTAR_THRESHOLD,0.267835,2010
40,RECO_DT_VUT_REF,WW_USTAR_PERCENTILE,41.25,2011
40,RECO_DT_VUT_REF,WW_USTAR_THRESHOLD,0.248592,2011
40,RECO_DT_VUT_REF,WW_USTAR_PERCENTILE,41.25,2012
40,RECO_DT_VUT_REF,WW_USTAR_THRESHOLD,0.27178,2012
41,RECO_DT_CUT_REF,MM_USTAR_PERCENTILE,91.25,-9999
41,RECO_DT_CUT_REF,MM_USTAR_THRESHOLD,0.309653,-9999
42,RECO_DT_VUT_REF,MM_USTAR_PERCENTILE,41.25,2010
42,RECO_DT_VUT_REF,MM_USTAR_THRESHOLD,0.267835,2010
42,RECO_DT_VUT_REF,MM_USTAR_PERCENTILE,41.25,2011
42,RECO_DT_VUT_REF,MM_USTAR_THRESHOLD,0.248592,2011
42,RECO_DT_VUT_REF,MM_USTAR_PERCENTILE,41.25,2012
42,RECO_DT_VUT_REF,MM_USTAR_THRESHOLD,0.27178,2012
43,RECO_DT_CUT_REF,YY_USTAR_PERCENTILE,91.25,-9999
43,RECO_DT_CUT_REF,YY_USTAR_THRESHOLD,0.309653,-9999
