TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,28.633,25.656,2.962,30.583,3.672,294.205,401.609,17.121,99.669,0.0,1.028
19890102,27.551,25.753,1.172,28.729,2.126,275.655,405.144,11.87,99.788,4.87,1.284
19890103,27.965,25.655,1.933,29.479,2.827,266.275,406.145,14.035,99.716,0.839,1.316
19890104,29.362,26.555,3.112,31.201,4.058,304.861,406.086,19.089,99.682,0.0,1.957
19890105,29.738,27.532,2.202,31.184,3.104,299.088,407.653,19.788,99.432,0.0,2.159
19890106,26.031,25.239,1.19,26.549,1.067,188.371,410.305,9.854,99.054,4.95,1.39
19890107,24.814,24.121,1.179,25.268,1.478,197.005,413.016,6.139,98.823,11.593,1.482
19890108,24.525,23.629,0.609,25.165,1.204,207.366,403.244,6.189,98.997,8.814,1.716
19890109,26.248,23.961,2.13,27.882,3.375,328.122,374.478,14.292,99.554,0.0,2.95
19890110,26.694,24.514,2.117,28.252,3.659,340.552,360.316,18.48,99.941,0.0,3.065
19890111,27.28,25.124,1.92,28.819,3.194,304.453,383.396,17.08,99.879,0.0,2.535
19890112,28.188,25.58,2.394,30.051,3.569,333.502,385.634,17.797,99.833,0.0,2.362
19890113,28.223,26.072,2.439,29.76,3.762,334.942,380.377,19.896,99.736,0.0,2.421
19890114,29.274,26.769,2.032,31.063,3.206,283.701,406.805,19.461,99.518,0.0,1.723
19890115,26.82,25.603,0.781,27.689,1.34,254.887,408.621,10.979,99.349,6.391,2.145
19890116,28.455,25.877,1.788,30.297,2.773,299.302,394.997,18.786,99.247,0.092,2.232
19890117,29.228,25.534,3.352,31.867,4.518,311.249,387.717,22.882,99.358,0.0,1.293
19890118,31.044,28.077,2.653,33.164,3.602,295.495,407.448,23.818,99.292,0.0,3.051
19890119,31.019,29.118,1.309,32.377,2.223,231.63,421.458,21.968,98.981,0.161,3.777
19890120,26.812,26.626,2.258,26.945,1.49,137.65,425.596,10.146,99.267,11.93,2.659
19890121,25.791,24.266,1.333,26.879,1.852,252.218,411.674,6.669,99.533,7.512,1.286
19890122,27.7,25.186,1.954,29.496,3.027,283.797,407.03,11.577,99.731,2.541,1.415
19890123,27.21,25.317,0.962,28.561,1.989,253.002,407.281,9.949,99.606,4.6,1.537
19890124,25.492,23.911,0.33,26.622,1.538,219.409,414.57,6.119,99.483,17.934,1.27
19890125,23.97,23.508,0.155,24.3,0.402,75.913,431.588,4.036,99.303,22.584,2.835
19890126,24.705,23.446,0.968,25.605,2.219,183.604,421.72,6.827,99.481,12.362,2.004
19890127,24.969,23.415,1.556,26.079,2.042,245.894,401.469,7.898,99.554,4.306,2.134
19890128,23.522,23.18,0.394,23.766,0.594,125.378,408.378,5.034,99.362,7.665,2.986
19890129,24.706,23.69,0.374,25.433,0.772,205.191,408.014,6.033,99.622,11.673,2.244
19890130,24.614,23.564,0.916,25.364,1.422,192.607,414.376,5.944,99.728,6.942,0.974
