TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198901,26.97,25.171,1.608,28.23,2.385,250.238,403.808,12.824,99.495,4.845,2.017
198902,26.808,24.602,1.753,28.555,2.639,257.289,393.085,12.896,99.658,2.695,1.705
198903,25.106,23.134,1.744,26.852,2.564,207.498,385.431,11.671,99.785,2.536,1.693
198904,21.589,20.133,1.862,23.126,2.381,155.763,370.44,7.703,99.949,3.76,1.842
198905,17.747,16.141,1.732,19.621,2.708,139.974,332.881,7.047,100.592,1.678,2.037
198906,15.895,14.592,1.8,17.57,2.423,106.87,334.584,5.187,100.413,3.043,1.742
198907,13.669,12.225,1.942,15.423,2.599,122.359,309.96,5.643,100.616,3.746,2.136
198908,17.432,16.02,2.181,18.983,2.523,144.275,334.71,7.228,100.249,7.595,2.632
198909,16.702,15.01,2.049,18.314,2.621,180.088,331.302,6.592,100.174,6.179,2.311
198910,20.764,18.741,2.418,22.47,3.21,235.044,351.601,9.551,100.062,4.86,2.34
198911,23.319,21.337,2.081,24.743,2.974,254.209,376.226,10.051,99.572,3.23,2.213
198912,25.934,24.329,1.344,27.019,2.218,245.021,401.546,10.282,99.506,4.701,1.762
199001,25.646,24.032,1.192,26.777,1.952,237.615,405.457,8.546,99.544,6.315,2.098
199002,24.964,23.393,1.19,26.208,1.952,218.188,400.098,8.478,99.705,4.0,1.786
199003,25.049,23.509,1.352,26.403,1.911,191.07,399.692,8.678,99.775,5.389,2.085
199004,22.959,21.768,1.413,24.204,1.778,142.485,392.738,6.639,99.77,7.147,2.157
199005,16.987,15.678,1.719,18.485,2.307,124.408,337.255,5.834,100.237,4.602,2.142
199006,13.714,12.415,1.982,15.384,2.4,107.115,321.866,4.795,100.566,4.805,1.951
199007,13.06,11.725,1.69,14.685,2.24,117.174,313.422,5.158,100.739,2.61,2.084
199008,17.838,16.044,2.051,19.811,2.922,156.464,332.771,7.465,100.47,4.301,2.284
199009,17.179,15.57,2.239,18.703,2.639,173.325,338.873,6.524,100.289,7.361,2.317
199010,22.94,21.338,1.885,24.291,2.474,205.083,383.97,8.14,99.826,6.672,2.258
199011,25.147,23.593,1.602,26.262,2.404,230.11,397.505,9.614,99.6,4.935,2.54
199012,25.549,23.604,1.977,26.86,2.945,273.411,390.532,11.182,99.615,4.051,2.493
199101,26.57,24.439,1.726,28.064,2.794,274.26,390.893,13.808,99.522,4.012,2.262
199102,25.782,23.255,2.026,27.791,2.941,274.957,377.678,13.445,99.769,1.597,1.855
199103,25.989,24.203,1.635,27.577,2.397,213.776,396.494,11.442,99.724,2.423,1.803
