TIMESTAMP_START,TIMESTAMP_END,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,19890107,27.728,25.787,1.964,28.999,2.619,260.78,407.137,13.985,99.452,3.179,1.516
19890108,19890114,27.205,25.093,1.949,28.713,3.138,304.662,384.893,16.171,99.637,1.259,2.396
19890115,19890121,28.453,26.443,1.925,29.888,2.543,254.633,408.216,16.464,99.289,3.726,2.349
19890122,19890128,25.367,23.995,0.903,26.347,1.687,198.143,413.148,7.349,99.503,10.285,2.026
19890129,19890204,25.784,24.221,1.249,26.901,1.926,232.944,403.178,8.633,99.705,5.53,1.53
19890205,19890211,27.245,24.833,1.987,28.969,3.017,275.834,389.534,14.692,99.744,0.5,1.723
19890212,19890218,27.444,25.306,1.672,29.229,2.424,253.02,399.374,13.332,99.43,2.589,1.626
19890219,19890225,26.078,24.065,1.395,27.782,2.366,244.075,392.818,11.372,99.653,3.979,1.981
19890226,19890304,26.775,24.459,1.96,28.734,2.66,247.839,393.984,12.142,99.733,3.23,1.79
19890305,19890311,26.397,24.32,1.507,28.155,2.447,227.05,397.463,10.937,99.517,2.332,1.384
19890312,19890318,24.854,22.783,2.027,26.684,3.001,215.64,373.62,14.709,99.864,0.05,1.838
19890319,19890325,25.177,23.006,1.967,27.174,2.771,205.477,383.717,12.821,99.862,2.299,1.499
19890326,19890401,22.223,20.845,1.475,23.49,2.09,154.334,375.847,8.281,100.083,5.01,2.074
19890402,19890408,22.885,21.498,1.334,24.223,1.755,134.062,397.299,5.892,99.861,9.453,1.483
19890409,19890415,21.759,20.344,2.616,23.276,2.846,175.489,363.062,8.989,99.859,0.504,2.071
19890416,19890422,21.719,20.045,1.814,23.539,2.65,176.037,354.789,8.835,100.125,1.84,1.779
19890423,19890429,20.547,18.981,2.014,22.25,2.536,150.191,361.559,7.587,99.896,3.179,1.892
19890430,19890506,17.717,16.916,1.043,18.588,1.394,95.104,369.322,5.774,100.227,5.494,2.225
19890507,19890513,17.076,14.981,2.117,19.353,3.252,168.799,315.989,7.547,100.783,0.0,1.843
19890514,19890520,19.137,17.351,2.088,21.247,3.214,148.028,337.569,7.68,100.683,0.36,2.059
19890521,19890527,18.361,16.962,1.355,20.04,2.365,136.462,331.887,7.285,100.621,2.212,2.118
19890528,19890603,16.355,14.629,1.738,18.573,2.936,125.571,323.264,6.206,100.455,0.569,1.59
19890604,19890610,16.518,15.253,1.885,18.145,2.212,101.407,345.752,4.893,100.295,3.703,1.629
19890611,19890617,14.26,12.792,1.769,16.148,2.73,114.622,314.641,5.474,100.9,0.233,1.642
19890618,19890624,17.529,16.325,1.808,19.077,2.342,97.454,353.494,5.148,100.37,5.944,1.784
19890625,19890701,15.024,13.835,1.954,16.553,2.267,104.544,328.565,4.785,100.071,9.86,2.194
19890702,19890708,8.1,7.174,1.73,9.289,2.074,109.142,274.977,4.414,101.532,3.118,2.426
19890709,19890715,13.747,12.149,1.945,15.742,2.856,117.574,315.802,4.959,100.94,1.674,1.734
19890716,19890722,17.362,15.554,1.854,19.499,3.132,143.315,318.63,7.109,100.481,0.145,2.163
19890723,19890729,15.262,13.807,2.276,16.983,2.493,123.885,325.069,6.185,99.673,4.027,2.198
