TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
1989,20.965,19.259,1.876,22.544,2.603,191.202,360.277,8.873,100.009,1490.586,2.039
1990,20.899,19.368,1.694,22.321,2.33,181.267,367.639,7.588,100.013,1891.547,2.186
1991,21.915,20.211,1.889,23.468,2.578,193.476,367.497,9.407,99.949,1595.392,2.226
1992,20.925,19.279,1.829,22.41,2.472,189.708,364.143,8.164,99.955,1675.88,2.217
1993,21.131,19.462,1.865,22.658,2.488,186.26,366.609,8.286,99.968,2000.307,2.14
1994,21.849,20.337,1.751,23.223,2.404,185.925,372.679,8.543,99.949,1932.354,2.238
1995,21.515,19.824,1.939,23.061,2.602,191.857,364.187,9.557,99.963,1298.714,2.234
1996,21.122,19.458,1.767,22.671,2.511,187.03,363.784,8.658,100.025,1518.838,2.137
1997,21.799,20.25,1.745,23.233,2.39,183.02,370.555,8.655,99.919,1673.027,2.292
1998,21.092,19.55,1.775,22.495,2.445,183.285,368.717,7.958,100.007,1989.194,2.188
1999,21.368,19.588,1.947,22.987,2.69,196.795,364.446,9.572,100.047,1327.448,2.097
2000,21.123,19.475,1.907,22.627,2.581,189.388,364.688,8.778,99.956,1719.269,2.19
2001,21.699,20.215,1.65,23.049,2.27,183.329,373.33,8.065,99.989,1682.12,2.151
2002,21.735,20.247,1.773,23.093,2.317,182.534,373.028,8.312,99.906,2095.511,2.346
2003,21.571,19.894,1.88,23.13,2.628,193.017,364.925,8.853,99.994,1494.363,2.197
2004,21.988,20.281,1.869,23.534,2.656,199.772,365.704,10.271,99.974,1009.565,2.266
2005,22.309,20.674,1.907,23.781,2.593,191.331,371.341,10.402,99.939,1172.074,2.326
2006,22.3,20.584,1.902,23.887,2.669,198.82,368.762,10.042,99.922,1211.331,2.18
2007,21.427,19.835,1.859,22.87,2.498,187.305,368.856,9.113,99.933,1460.146,2.181
2008,21.343,19.649,1.91,22.884,2.633,195.495,362.782,9.474,99.959,1181.605,2.127
2009,21.653,19.922,1.921,23.258,2.706,194.807,365.889,9.59,99.899,1375.166,2.187
2010,21.041,19.436,1.826,22.49,2.524,191.978,362.555,8.651,99.964,1664.062,2.246
2011,21.253,19.644,1.838,22.712,2.559,194.001,363.575,8.975,99.932,1503.914,2.176
2012,22.483,20.724,1.931,24.097,2.696,197.485,366.475,10.968,99.933,1130.195,2.227
2013,20.94,19.247,1.936,22.491,2.622,193.918,361.417,8.792,100.0,1297.657,2.194
2014,22.114,20.557,1.837,23.531,2.455,189.389,372.347,9.18,99.954,1853.98,2.265
